year,flag_country_iso3c,flag_country_name,eez_sovereign_iso3c,eez_sovereign_name,fao_fishing_id,fao_major_fishing_area,length_category,nom_active_fishing_days,eff_active_fishing_days,sector
2012,GHA,Ghana,GHA,Ghana,34,"Atlantic, Eastern Central",Over 50m,15155814.477,74875530.4676508,Artisanal
2012,GIN,Guinea,GIN,Guinea,34,"Atlantic, Eastern Central",12-24m,27453316.416,135629901.834953,Artisanal
2012,GIN,Guinea,GIN,Guinea,34,"Atlantic, Eastern Central",6-12m,17687717.666724,87384102.3237538,Artisanal
2012,GIN,Guinea,GIN,Guinea,34,"Atlantic, Eastern Central",Less than 6m,206838.10299,1021859.47880278,Artisanal
2012,GLP,Guadeloupe,GLP,Guadeloupe,31,"Atlantic, Western Central",6-12m,10532990.1910822,52037007.2598009,Artisanal
2012,GLP,Guadeloupe,GLP,Guadeloupe,31,"Atlantic, Western Central",Less than 6m,506995.353470399,2504751.30144536,Artisanal
2012,GMB,Gambia,GMB,Gambia,34,"Atlantic, Eastern Central",12-24m,1226206.36602,6057929.26918512,Artisanal
2012,GMB,Gambia,GMB,Gambia,34,"Atlantic, Eastern Central",6-12m,3384803.040213,16722223.9061501,Artisanal
2012,GMB,Gambia,GMB,Gambia,34,"Atlantic, Eastern Central",Less than 6m,430243.917993,2125569.80286968,Artisanal
2012,GNB,Guinea-Bissau,GNB,Guinea-Bissau,34,"Atlantic, Eastern Central",12-24m,87767.90538,433607.08085567,Artisanal
2012,GNB,Guinea-Bissau,GNB,Guinea-Bissau,34,"Atlantic, Eastern Central",6-12m,1599539.820531,7902339.57720606,Artisanal
2012,GNB,Guinea-Bissau,GNB,Guinea-Bissau,34,"Atlantic, Eastern Central",Less than 6m,266715.2784,1317675.66727171,Artisanal
2012,GNQ,Equatorial Guinea,GNQ,Equatorial Guinea,34,"Atlantic, Eastern Central",6-12m,18870458.337,93227294.4020795,Artisanal
2012,GNQ,Equatorial Guinea,GNQ,Equatorial Guinea,34,"Atlantic, Eastern Central",Less than 6m,565813.38699,2795334.92316544,Artisanal
2012,GRC,Greece,GRC,Greece,37,Mediterranean and Black Sea,6-12m,43411201.2174896,214467967.018877,Artisanal
2012,GRC,Greece,GRC,Greece,37,Mediterranean and Black Sea,Less than 6m,10701068.8365193,52867380.1676034,Artisanal
2012,GRD,Grenada,GRD,Grenada,31,"Atlantic, Western Central",12-24m,1560853.3218,7711213.45074048,Artisanal
2012,GRD,Grenada,GRD,Grenada,31,"Atlantic, Western Central",6-12m,1821971.3849364,9001236.73003663,Artisanal
2012,GRD,Grenada,GRD,Grenada,31,"Atlantic, Western Central",Less than 6m,1499515.9168101,7408183.1686598,Artisanal
2012,GRL,Greenland,GRL,Greenland,21,"Atlantic, Northwest",12-24m,25509.8612101442,126028.488483041,Artisanal
2012,GRL,Greenland,GRL,Greenland,21,"Atlantic, Northwest",6-12m,190358.059428066,940441.749277096,Artisanal
2012,GRL,Greenland,GRL,Greenland,21,"Atlantic, Northwest",Less than 6m,356009.386968235,1758822.7766421,Artisanal
2012,GRL,Greenland,GRL,Greenland,27,"Atlantic, Northeast",12-24m,3308.56162785583,16345.5621172038,Artisanal
2012,GRL,Greenland,GRL,Greenland,27,"Atlantic, Northeast",6-12m,26067.1462550343,128781.690128598,Artisanal
2012,GRL,Greenland,GRL,Greenland,27,"Atlantic, Northeast",Less than 6m,47548.6740477651,234908.668073414,Artisanal
2012,GTM,Guatemala,GTM,Guatemala,77,"Pacific, Eastern Central",12-24m,131978395.18539,652023839.746249,Artisanal
2012,GTM,Guatemala,GTM,Guatemala,77,"Pacific, Eastern Central",6-12m,13083079.421805,64635425.1264206,Artisanal
2012,GTM,Guatemala,GTM,Guatemala,77,"Pacific, Eastern Central",Less than 6m,5524363.60737001,27292472.8806716,Artisanal
2012,GUF,French Guiana,GUF,French Guiana,31,"Atlantic, Western Central",6-12m,916265.001999933,4526700.17687286,Artisanal
2012,GUF,French Guiana,GUF,French Guiana,31,"Atlantic, Western Central",Less than 6m,47795.0284614217,236125.753267586,Artisanal
2012,GUF,French Guiana,GUF,French Guiana,41,"Atlantic, Southwest",6-12m,290829.874318833,1436811.01061968,Artisanal
2012,GUF,French Guiana,GUF,French Guiana,41,"Atlantic, Southwest",Less than 6m,15170.5260925172,74948.2114850621,Artisanal
2012,GUM,Guam,GUM,Guam,71,"Pacific, Western Central",6-12m,6481577.151,32021474.5426333,Artisanal
2012,GUY,Guyana,GUY,Guyana,31,"Atlantic, Western Central",12-24m,24351771.0024924,120307079.134905,Artisanal
2012,GUY,Guyana,GUY,Guyana,31,"Atlantic, Western Central",6-12m,1084840.903176,5359529.71854978,Artisanal
2012,GUY,Guyana,GUY,Guyana,31,"Atlantic, Western Central",Less than 6m,36682.4639491799,181225.42679732,Artisanal
2012,HKG,Hong Kong SAR China,HKG,Hong Kong SAR China,61,"Pacific, Northwest",6-12m,6916.084968,34168.1096403108,Artisanal
2012,HKG,Hong Kong SAR China,HKG,Hong Kong SAR China,61,"Pacific, Northwest",Less than 6m,57651.5529419999,284820.760729618,Artisanal
2012,HND,Honduras,HND,Honduras,31,"Atlantic, Western Central",12-24m,58579.4539196159,289404.947084359,Artisanal
2012,HND,Honduras,HND,Honduras,31,"Atlantic, Western Central",6-12m,6359210.18945151,31416934.8676748,Artisanal
2012,HND,Honduras,HND,Honduras,31,"Atlantic, Western Central",Less than 6m,2993927.46865134,14791148.8186357,Artisanal
2012,HND,Honduras,HND,Honduras,77,"Pacific, Eastern Central",12-24m,59064.430980384,291800.919583545,Artisanal
2012,HND,Honduras,HND,Honduras,77,"Pacific, Eastern Central",6-12m,1133528.40892149,5600064.65155339,Artisanal
2012,HND,Honduras,HND,Honduras,77,"Pacific, Eastern Central",Less than 6m,1024271.86000866,5060295.43827043,Artisanal
2012,HRV,Croatia,HRV,Croatia,37,Mediterranean and Black Sea,6-12m,23210715.9167313,114669829.815917,Artisanal
2012,HRV,Croatia,HRV,Croatia,37,Mediterranean and Black Sea,Less than 6m,6434530.43210541,31789045.7253407,Artisanal
2012,HTI,Haiti,HTI,Haiti,31,"Atlantic, Western Central",Less than 6m,12079698.55773,59678339.2124489,Artisanal
2012,IDN,Indonesia,IDN,Indonesia,57,"Indian Ocean, Eastern",12-24m,8104.33828370572,40038.5362992297,Artisanal
2012,IDN,Indonesia,IDN,Indonesia,57,"Indian Ocean, Eastern",6-12m,172298871.806746,851222443.048905,Artisanal
2012,IDN,Indonesia,IDN,Indonesia,57,"Indian Ocean, Eastern",Less than 6m,5247883.04961514,25926552.9918196,Artisanal
2012,IDN,Indonesia,IDN,Indonesia,71,"Pacific, Western Central",12-24m,13966.3812252943,68999.2744727993,Artisanal
2012,IDN,Indonesia,IDN,Indonesia,71,"Pacific, Western Central",6-12m,295296742.135058,1458879049.11252,Artisanal
2012,IDN,Indonesia,IDN,Indonesia,71,"Pacific, Western Central",Less than 6m,11656444.7276949,57587303.1223437,Artisanal
2012,IND,India,IND,India,51,"Indian Ocean, Western",12-24m,255804298.453653,1263771245.7941,Artisanal
2012,IND,India,IND,India,51,"Indian Ocean, Western",24-50m,22016889.4317818,108771869.565574,Artisanal
2012,IND,India,IND,India,51,"Indian Ocean, Western",6-12m,53084524.2175669,262257888.973576,Artisanal
2012,IND,India,IND,India,51,"Indian Ocean, Western",Less than 6m,5714514.89220408,28231893.0842288,Artisanal
2012,IND,India,IND,India,57,"Indian Ocean, Eastern",12-24m,137467780.378347,679143505.857739,Artisanal
2012,IND,India,IND,India,57,"Indian Ocean, Eastern",24-50m,11662541.8457182,57617425.2214899,Artisanal
2012,IND,India,IND,India,57,"Indian Ocean, Eastern",6-12m,28690091.8942331,141740046.568027,Artisanal
2012,IND,India,IND,India,57,"Indian Ocean, Eastern",Less than 6m,3634980.84230592,17958198.1041298,Artisanal
2012,IRL,Ireland,IRL,Ireland,27,"Atlantic, Northeast",6-12m,6512217.329,32172848.7617395,Artisanal
2012,IRL,Ireland,IRL,Ireland,27,"Atlantic, Northeast",Less than 6m,1187436.773,5866392.62509432,Artisanal
2012,IRN,Iran,IRN,Iran,37,Mediterranean and Black Sea,12-24m,304898.713185751,1506316.46509876,Artisanal
2012,IRN,Iran,IRN,Iran,37,Mediterranean and Black Sea,6-12m,774632.85522981,3826983.1054625,Artisanal
2012,IRN,Iran,IRN,Iran,37,Mediterranean and Black Sea,Less than 6m,1306287.1513151,6453559.03150085,Artisanal
2012,IRN,Iran,IRN,Iran,51,"Indian Ocean, Western",12-24m,4966725.94179825,24537529.1538406,Artisanal
2012,IRN,Iran,IRN,Iran,51,"Indian Ocean, Western",6-12m,8602486.20336219,42499577.8877395,Artisanal
2012,IRN,Iran,IRN,Iran,51,"Indian Ocean, Western",Less than 6m,11414834.7293389,56393657.1575792,Artisanal
2012,IRQ,Iraq,IRQ,Iraq,34,"Atlantic, Eastern Central",12-24m,399291.109994245,1972651.0717855,Artisanal
2012,IRQ,Iraq,IRQ,Iraq,34,"Atlantic, Eastern Central",6-12m,472549.566424816,2334575.91553471,Artisanal
2012,IRQ,Iraq,IRQ,Iraq,34,"Atlantic, Eastern Central",Less than 6m,324880.178882395,1605032.56154002,Artisanal
2012,IRQ,Iraq,IRQ,Iraq,51,"Indian Ocean, Western",12-24m,447884.268699755,2212719.89426253,Artisanal
